frame,t,cx,cy,geo_cx,geo_cy,peak_x,peak_y,area,eq_radius,sigma_x,sigma_y,sigma_maj,sigma_min,orientation_deg,ellipticity,radius_mean,radius_std,radius_min,radius_max,boundary_roughness,circularity,perimeter,halo_area,halo_radius,core_flux,peak_intensity
43,1.72,1315.8436787750861,629.91989558199,1315.8439070478028,629.9203152012221,1324,492,49746.0,125.835780277705,56.64366027805747,70.40693995506334,71.05975916760758,55.822505054623704,102.62444165250226,0.21442873282252473,124.82820292165768,11.14902229939238,105.17413331622762,142.6834243240696,2.656119580384502,0.8611698965454267,852.0,17253.0,142.4034719442841,12685168.0,255.0
44,1.76,1315.874827894218,629.9025102825185,1315.8750478261745,629.9028574880685,1324,492,49659.0,125.72569601318922,56.55734346127002,70.37624667377057,71.00152249060467,55.77035950484472,102.35497616687194,0.21451882229392227,124.71943215583192,11.153087244347116,105.14325214931078,142.78992517831975,2.680896664635351,0.826358085677706,869.0,17299.0,142.39044746550823,12662997.0,255.0
45,1.8,1315.7843400584989,629.7419638836825,1315.78448,629.74216,1324,492,50000.0,126.156626101008,56.79377518042586,70.56263686649068,71.18271994403254,56.01463203633867,102.32399551717891,0.21308665810494165,125.15677781593847,11.136622533528119,105.2332457642541,143.09055937315432,2.730166392781053,0.8436421638359795,863.0,17207.0,142.8246684385007,12749971.0,255.0
46,1.84,1315.8174820823779,629.7382561017084,1315.8176804412117,629.7385101111022,1324,492,50044.0,126.21212280990136,56.80789863055661,70.60362932402366,71.21809055160985,56.035644002067365,102.26182994613497,0.21318244328019675,125.20501687705745,11.162851932971016,105.20004795344477,143.0180752458943,2.726661087598709,0.8683658970713799,851.0,17295.0,142.84738639245091,12761180.0,255.0
47,1.88,1315.8163410581196,629.8378656088852,1315.8165828142469,629.8381847947612,1324,492,50088.0,126.26759512707015,56.829722959363416,70.6412407474446,71.26138021276866,56.05013823486654,102.30811888750308,0.21345702163619562,125.25534124058541,11.17926189376098,105.20273030942266,142.9195115319838,2.7084126647650377,0.8670903746666532,852.0,17264.0,142.95000255594454,12772392.0,255.0
48,1.92,1315.8057887177056,629.83714674739,1315.805931966263,629.837270655954,1324,492,50034.0,126.19951206450753,56.80933445264838,70.60504518584234,71.24677355411578,56.0024119549886,102.51094937273747,0.21396564137108975,125.19005477561767,11.193156851145623,105.21329209497343,142.91857433383046,2.7091396850928713,0.8580795638795512,856.0,17288.0,142.88506287776434,12758646.0,255.0
49,1.96,1315.7265750007184,629.8500698107348,1315.7268207954,629.8504032902092,1324,492,50088.0,126.26759512707015,56.86141299264239,70.59913638602406,71.2243422196224,56.076299997007474,102.3822765311572,0.2126806896426714,125.26525856573252,11.126661937118328,105.29228818510825,142.97464614739744,2.663030664939589,0.8590056600631363,856.0,17431.0,142.89141020730793,12772391.0,255.0
50,2.0,1315.7065826966646,629.9313756429464,1315.7067034086144,629.9315681223667,1325,492,50079.0,126.25625049952201,56.87762854616918,70.58309723085488,71.225899245424,56.07057624473838,102.55461056524534,0.21277826129600308,125.24167344903464,11.15216056090818,105.31103460674842,142.8912003691077,2.7051661510026714,0.8508805759822782,860.0,17459.0,142.85081519678383,12770116.0,255.0
51,2.04,1315.664709893784,629.9445807748062,1315.6649894173556,629.9449303142846,1324,492,50082.0,126.26003215529688,56.9039544902606,70.5446737578243,71.1841378357341,56.10195676454362,102.54917284356222,0.21187558815412522,125.24628819379024,11.075841758568009,105.35270464380737,142.8715157291321,2.6921399536990855,0.8710712430565205,850.0,17310.0,142.81461974804054,12770857.0,255.0
52,2.08,1315.6622516205803,629.8948016984523,1315.6624724631354,629.8950919880128,1324,492,50387.0,126.64391116489834,57.11838194124106,70.70428097813426,71.35393067096466,56.304719891174486,102.66057512134857,0.2109093449832049,125.64373365411514,11.045819520791193,105.48171323601028,143.1694542363124,2.63359652540455,0.8888806913390811,844.0,17381.0,143.17999699457505,12848639.0,255.0
